index,Realized,Forecast
11/1/2010,13.9,
12/1/2010,16.20769231,
1/1/2011,18.51538462,
2/1/2011,20.82307692,
3/1/2011,23.13076923,
4/1/2011,25.43846154,
5/1/2011,27.74615385,
6/1/2011,30.05384615,
7/1/2011,32.36153846,
8/1/2011,34.66923077,
9/1/2011,36.97692308,
10/1/2011,39.28461538,
11/1/2011,41.59230769,
12/1/2011,43.9,
1/1/2012,49.02,
2/1/2012,54.14,
3/1/2012,59.26,
4/1/2012,64.38,
5/1/2012,69.5,
6/1/2012,72,
7/1/2012,74.5,
8/1/2012,75.2,
9/1/2012,75.9,
10/1/2012,77.01111111,
11/1/2012,78.12222222,
12/1/2012,79.23333333,
1/1/2013,80.34444444,
2/1/2013,81.45555556,
3/1/2013,82.56666667,
4/1/2013,83.67777778,
5/1/2013,84.78888889,
6/1/2013,85.9,
7/1/2013,92.68333333,
8/1/2013,99.46666667,
9/1/2013,106.25,
10/1/2013,113.0333333,
11/1/2013,119.8166667,
12/1/2013,126.6,
1/1/2014,128.0666667,
2/1/2014,129.5333333,
3/1/2014,131,
4/1/2014,138.92,
5/1/2014,146.84,
6/1/2014,154.76,
7/1/2014,162.68,
8/1/2014,170.6,
9/1/2014,171.7,
10/1/2014,172.8,
11/1/2014,173.9,
12/1/2014,175,
1/1/2015,176.1,
2/1/2015,182.54,
3/1/2015,188.98,
4/1/2015,195.42,
5/1/2015,201.86,
6/1/2015,208.3,
7/1/2015,225.2333333,
8/1/2015,242.1666667,
9/1/2015,259.1,
10/1/2015,276.0333333,
11/1/2015,292.9666667,
12/1/2015,309.9,
1/1/2016,322.525,
2/1/2016,335.15,
3/1/2016,347.775,
4/1/2016,360.4,
5/1/2016,373.025,
6/1/2016,385.65,
7/1/2016,398.275,
8/1/2016,410.9,
9/1/2016,464.2333333,
10/1/2016,517.5666667,
11/1/2016,570.9,
12/1/2016,575.9,
1/1/2017,576.65,
2/1/2017,577.4,
3/1/2017,682.4,
4/1/2017,968.3,
5/1/2017,969.84,
6/1/2017,971.38,
7/1/2017,972.92,
8/1/2017,974.46,
9/1/2017,976,
10/1/2017,1026,
11/1/2017,1129.45,
12/1/2017,1232.9,
1/1/2018,1233.766667,
2/1/2018,1234.633333,
3/1/2018,1235.5,
4/1/2018,1426.5,
5/1/2018,1617.5,
6/1/2018,1635,
7/1/2018,1652.5,
8/1/2018,1670,
9/1/2018,1687.5,
10/1/2018,1705,
11/1/2018,1722.5,
12/1/2018,1939.5,
1/1/2019,1942.425,
2/1/2019,1945.35,
3/1/2019,1948.275,
4/1/2019,1951.2,
5/1/2019,1953.7,
6/1/2019,1956.2,
7/1/2019,1958.7,
8/1/2019,1961.2,
9/1/2019,2048.7,
10/1/2019,2136.2,
11/1/2019,2223.7,
12/1/2019,2438.7,
1/1/2020,2678.7,
2/1/2020,2682.9,
3/1/2020,2687.1,
4/1/2020,2691.3,
5/1/2020,2695.5,
6/1/2020,3545.5,
7/1/2020,3725.5,
8/1/2020,4245.5,
9/1/2020,4248.833333,
10/1/2020,4252.166667,
11/1/2020,4255.5,
12/1/2020,5290.6,
1/1/2021,5712.6,
2/1/2021,5977.9,
3/1/2021,6177.9,
4/1/2021,6667.6025,
5/1/2021,7157.305,
6/1/2021,7647.0075,
7/1/2021,8136.71,
8/1/2021,8626.4125,
9/1/2021,9116.115,
10/1/2021,9605.8175,
11/1/2021,10095.52,
12/1/2021,10394.955,
1/1/2022,10694.39,
2/1/2022,10973.39,
3/1/2022,11324.68,
4/1/2022,11462.13,
5/1/2022,11676.28,
6/1/2022,11770.63,
7/1/2022,12339.63,
8/1/2022,12790.93,
9/1/2022,13298.93,
10/1/2022,13573.36,
11/1/2022,14029.1,
12/1/2022,14616.895,
1/1/2023,15204.69,
2/1/2023,15792.485,
3/1/2023,16380.28,
4/1/2023,16968.075,
5/1/2023,17555.87,
6/1/2023,18143.665,
7/1/2023,18731.46,
8/1/2023,19319.255,
9/1/2023,19907.05,
10/1/2023,20494.845,
11/1/2023,21082.64,
12/1/2023,21670.435,
1/1/2024,22258.23,22051.41197
2/1/2024,22710.08,22710.14135
3/1/2024,,23324.83201
4/1/2024,,23979.66697
5/1/2024,,24610.60328
6/1/2024,,25259.13353
7/1/2024,,25882.89625
8/1/2024,,26522.95792
9/1/2024,,27157.95406
10/1/2024,,27767.19471
11/1/2024,,28390.85967
12/1/2024,,28988.32094
1/1/2025,,29599.02727
2/1/2025,,30202.59317
3/1/2025,,30741.33103
4/1/2025,,31330.39798
5/1/2025,,31892.80579
6/1/2025,,32465.79508
7/1/2025,,33012.17977
8/1/2025,,33568.18037
9/1/2025,,34115.25821
10/1/2025,,34636.03812
11/1/2025,,35165.10056
12/1/2025,,35668.19988
1/1/2026,,36178.7781
2/1/2026,,36679.8327
3/1/2026,,37124.16003
4/1/2026,,37606.93118
