,5x16,2x16,7x8
2024-02-01,18.39,,18.0
2024-02-02,8.99,,18.0
2024-02-03,,14.11,18.0
2024-02-04,,5.68,18.0
2024-02-05,19.8,,18.0
2024-02-06,19.33,,18.0
2024-02-07,16.63,,18.0
2024-02-08,17.78,,18.0
2024-02-09,18.54,,18.0
2024-02-10,,19.33,18.0
2024-02-11,,16.63,18.0
2024-02-12,17.78,,18.0
2024-02-13,18.54,,18.0
2024-02-14,8.67,,18.0
2024-02-15,12.71,,18.0
2024-02-16,12.17,,18.0
2024-02-17,,10.76,18.0
2024-02-18,,16.05,18.0
2024-02-19,29.47,,18.0
2024-02-20,7.82,,18.0
2024-02-21,11.65,,18.0
2024-02-22,15.0,,18.0
2024-02-23,20.0,,18.0
2024-02-24,,16.5,18.0
2024-02-25,,16.5,18.0
2024-02-26,19.0,,18.0
2024-02-27,19.0,,18.0
2024-02-28,19.0,,18.0
2024-02-29,19.0,,18.0
2024-03-01,27.349999999999998,22.36380866425993,15.587654306552267
2024-04-01,30.15,25.553360655737706,15.862207650273225
2024-05-01,35.45,29.79783216783217,15.999000676742613
2024-06-01,57.645,47.84782403433477,18.934783977110165
2024-07-01,96.5,80.21871794871797,21.737841191066998
2024-08-01,149.0,116.1148468708389,22.726863107254836
2024-09-01,67.75,57.71113138686132,20.8425790754258
2024-10-01,37.050000000000004,31.176816380449143,19.79583670686496
2024-11-01,35.5,30.555710306406688,22.095379049688507
2024-12-01,42.3,36.61717289719627,28.380533614712093
2025-01-01,69.3,61.408185053380784,50.88040867868212
2025-02-01,68.65,60.222756640344585,49.98556763408881
2025-03-01,38.14,32.578941935483876,25.357406033694655
2025-04-01,33.489999999999995,28.824970674486803,22.857348973607042
2025-05-01,38.190000000000005,32.47381935483872,23.275600416233083
2025-06-01,57.084999999999994,47.776056945642786,27.858365832614325
2025-07-01,84.79,71.33987216734457,30.741687128638638
2025-08-01,115.74000000000002,94.70534129692834,31.45945722778817
2025-09-01,59.79,50.939506578947366,29.91229605263159
2025-10-01,36.89000000000001,32.369881422924905,26.802641846232298
2025-11-01,35.190000000000005,31.018242677824272,28.851822774700935
2025-12-01,41.64000000000001,36.77872641509435,34.115900791235525
2026-01-01,78.2,64.26923562855337,57.526622175126846
2026-02-01,76.55000000000001,63.125370728562224,57.00550244082158
2026-03-01,36.690000000000005,31.378310991957107,30.23503326784687
2026-04-01,30.29,26.761067961165047,26.31476375404531
2026-05-01,31.390000000000004,27.361862284820035,26.059646120450292
2026-06-01,42.285,35.8663035921205,30.272638084202395
2026-07-01,77.14,61.88910714285714,33.20497695852534
2026-08-01,100.24000000000002,78.06300884955753,33.67225235512417
2026-09-01,44.989999999999995,38.09479347826087,32.00912391304349
2026-10-01,35.540000000000006,31.36453551912569,29.456076150185076
2026-11-01,34.99,30.769607293127635,31.268932917425627
2026-12-01,41.190000000000005,36.427866507747325,36.66640009227574
2027-01-01,81.2,66.94313487241799,61.37680750989691
2027-02-01,80.3,66.49766728054021,60.72133298254845
2027-03-01,36.400000000000006,31.21397849462366,32.24559009185495
2027-04-01,30.300000000000004,25.720900321543414,27.03618649517685
2027-05-01,31.140000000000004,26.398116169544743,26.86940142806501
2027-06-01,39.635000000000005,33.78481549815498,31.13943173431734
2027-07-01,70.39999999999999,57.80055710306407,33.89609219157156
2027-08-01,93.5,74.13144058885385,33.98335707743971
2027-09-01,41.99,36.00533024333719,32.832801853997694
2027-10-01,35.040000000000006,30.206896551724142,30.31167964404893
2027-11-01,34.14000000000001,29.50008583690988,32.348703898277904
2027-12-01,39.99000000000001,34.66125916870416,37.68870494518494
2028-01-01,81.7,65.56721014492754,61.67792893875642
2028-02-01,80.4,64.97069282648683,59.99892809573141
2028-03-01,35.2,30.11555555555556,33.19477282950967
2028-04-01,29.750000000000004,24.83224222585925,27.845171849427167
2028-05-01,30.840000000000003,25.766795562599054,27.459925157200544
2028-06-01,38.535000000000004,33.02025663716814,31.441863126843657
2028-07-01,67.75000000000001,55.15104920405211,34.27086830680173
2028-08-01,88.7,69.92803324099722,34.2500473594853
2028-09-01,41.04,35.10767772511848,33.27821484992102
2028-10-01,34.34000000000001,29.461884669479613,30.557615353205378
2028-11-01,33.14000000000001,28.786409425625926,32.55090059215711
2028-12-01,38.59,33.7149594936709,38.25519003674968
2029-01-01,78.8,63.91774718397998,61.75163066736646
2029-02-01,76.65,62.659897172236505,59.8143444730077
2029-03-01,35.800000000000004,30.273497267759566,32.96698944713612
2029-04-01,29.900000000000002,24.68941368078176,27.558351791530946
2029-05-01,29.540000000000003,24.569467768595047,27.358373553718998
2029-06-01,36.685,31.80988461538461,31.24206923076923
2029-07-01,65.55000000000001,54.17557965594616,33.79769054455087
2029-08-01,87.20000000000002,68.22638105975196,33.92509364657963
2029-09-01,38.79,33.69244055068836,33.28621026282855
2029-10-01,33.99000000000001,29.017031250000006,30.604112903225797
2029-11-01,33.690000000000005,28.699973913043483,32.49279567021467
2029-12-01,38.24,33.17063601532568,38.3511615375108
2030-01-01,76.85000000000001,62.36729955099423,61.351890583293674
2030-02-01,75.4,61.7088177661659,59.564961276476616
2030-03-01,35.5,29.28994490358127,33.33266726893521
2030-04-01,29.400000000000002,23.558940397350995,27.315898454746133
2030-05-01,29.44,23.63988059701493,27.096520943668743
2030-06-01,35.835,30.3795223880597,30.623651741293532
2030-07-01,61.4,52.138547486033524,32.88439178230311
2030-08-01,83.7,66.49800352319436,32.815675373629084
2030-09-01,37.54,31.91385012919897,32.22409991386737
2030-10-01,33.49000000000001,27.747478386167153,30.138398252300814
2030-11-01,32.74,27.167856929955295,32.113455980112654
2030-12-01,37.540000000000006,31.789399219765933,37.851677922731646
2031-01-01,74.8,62.34318840579711,59.815890603085556
2031-02-01,73.5,61.684862692565304,57.87864988996268
2031-03-01,36.300000000000004,30.502762803234504,33.390558508026224
2031-04-01,29.1,24.866387959866223,27.488593088071347
2031-05-01,29.090000000000003,24.926615771812084,27.09637692141155
2031-06-01,35.535,31.417606703146372,30.552435978112175
2031-07-01,60.9,54.623671497584546,32.593029453015426
2031-08-01,82.65,66.99025877453894,32.60628466158777
2031-09-01,37.44,32.66300518134715,32.24319689119172
2031-10-01,32.690000000000005,28.278296460176996,29.611201827005413
2031-11-01,32.49,27.5042972972973,31.304704048446773
2031-12-01,36.34,31.398735570469803,36.17460515263043
2032-01-01,73.65,59.02838127090301,59.72717337361096
2032-02-01,72.3,58.61763104152485,57.98319452595009
2032-03-01,34.1,28.384097421203442,32.43516408941684
2032-04-01,27.400000000000002,22.881914893617026,26.48031205673759
2032-05-01,27.19,22.85324372759857,25.815762515897784
2032-06-01,33.785,28.979375,29.19233333333333
2032-07-01,60.35,51.61642276422764,31.739082087595065
2032-08-01,80.60000000000001,63.535814521049424,31.614688342616468
2032-09-01,35.589999999999996,30.215183673469387,30.676889795918378
2032-10-01,30.990000000000006,25.6004347826087,28.833590462833087
2032-11-01,30.340000000000003,24.64211878009631,29.823588778697626
2032-12-01,34.290000000000006,29.029602272727274,34.62923753665688
2033-01-01,71.15,56.18141868512111,57.418762138631536
2033-02-01,71.7,57.773369938229244,55.856645749583286
