,value
2017-01-01,2.740185991885982
2017-02-01,2.7520010291005166
2017-03-01,2.7627164566965074
2017-04-01,2.7746286399737494
2017-05-01,2.786205460980478
2017-06-01,2.7982189233170858
2017-07-01,2.8098941720859405
2017-08-01,2.8220097745707364
2017-09-01,2.834177616682572
2017-10-01,2.846002898991314
2017-11-01,2.858274193809923
2017-12-01,2.8702000163337624
2018-01-01,2.8825756434286225
2018-02-01,2.895004631315455
2018-03-01,2.9062768700206343
2018-04-01,2.9188080520194886
2018-05-01,2.930986445150883
2018-06-01,2.9436241690233853
2018-07-01,2.9559061045678074
2018-08-01,2.968651276147967
2018-09-01,2.9814514019089637
2018-10-01,2.9938911672609456
2018-11-01,3.0068001214933204
2018-12-01,3.0193456514817476
2019-01-01,3.0323643594604874
2019-02-01,3.045439201044651
2019-03-01,3.0572971847124313
2019-04-01,3.0704795307722352
2019-05-01,3.0832907558206832
2019-06-01,3.0965851800426605
2019-07-01,3.109505327930192
2019-08-01,3.122912783218657
2019-09-01,3.136378048299468
2019-10-01,3.1494642273835782
2019-11-01,3.1630439760439124
2019-12-01,3.1762414156650283
2020-01-01,3.1899366212603963
2020-02-01,3.203690877359727
2020-03-01,3.2166114464599485
2020-04-01,3.2304807181287893
2020-05-01,3.243959529851795
2020-06-01,3.2579467200210512
2020-07-01,3.2715401304990386
2020-08-01,3.2856462417284025
2020-09-01,3.2998131751901334
2020-10-01,3.313581268669188
2020-11-01,3.327868651393805
2020-12-01,3.3417538031420597
2021-01-01,3.356162659206155
2021-02-01,3.370633642867107
2021-03-01,3.3837578315468466
2021-04-01,3.3983477990976194
2021-05-01,3.4125270170376223
2021-06-01,3.4272410305466665
2021-07-01,3.4415408021939204
2021-08-01,3.4563799163174376
2021-09-01,3.471283013209321
2021-10-01,3.4857665449975617
2021-11-01,3.5007963501174606
2021-12-01,3.5154030229321336
2022-01-01,3.5305606135712435
2022-02-01,3.545783560174515
2022-03-01,3.5595897276171646
2022-04-01,3.5749378409294748
2022-05-01,3.5898538606441033
2022-06-01,3.60533246577669
2022-07-01,3.6203753035909934
2022-08-01,3.635985510003685
2022-09-01,3.651663023953252
2022-10-01,3.6668991707284095
2022-11-01,3.682709977108849
2022-12-01,3.6980756637490204
2023-01-01,3.714020895831345
2023-02-01,3.7300348800023992
2023-03-01,3.7445584642105967
2023-04-01,3.760704119190825
2023-05-01,3.7763952274782215
2023-06-01,3.792678155090276
2023-07-01,3.808502671389518
2023-08-01,3.824924038744641
2023-09-01,3.841416211171751
2023-10-01,3.857444081441807
2023-11-01,3.8740764726408616
2023-12-01,3.8902406141205548
2024-01-01,3.9070144162512968
2024-02-01,3.923860543069848
