,value
2017-01-01,2.4532242509775597
2017-02-01,2.4638019766891452
2017-03-01,2.4733952476991856
2017-04-01,2.4840599460022763
2017-05-01,2.4944244023300692
2017-06-01,2.5051797733996395
2017-07-01,2.5156323497943673
2017-08-01,2.5264791645430438
2017-09-01,2.537372748204595
2017-10-01,2.547959646108739
2017-11-01,2.5589458485523133
2017-12-01,2.5696227577529918
2018-01-01,2.580702366436514
2018-02-01,2.59182974778558
2018-03-01,2.6019215187223845
2018-04-01,2.6131403920631113
2018-05-01,2.624043421805013
2018-06-01,2.6353576795864138
2018-07-01,2.646353408422244
2018-08-01,2.6577638616162615
2018-09-01,2.6692235139995026
2018-10-01,2.6803605441603446
2018-11-01,2.691917628121578
2018-12-01,2.703149346880856
2019-01-01,2.714804690797076
2019-02-01,2.7265102898136897
2019-03-01,2.737126464477612
2019-04-01,2.7489283097298864
2019-05-01,2.7603978990448637
2019-06-01,2.772300085247082
2019-07-01,2.7838671906252443
2019-08-01,2.7958705708902896
2019-09-01,2.807925706906569
2019-10-01,2.819641456120978
2019-11-01,2.831799086600938
2019-12-01,2.843614444764655
2020-01-01,2.855875441130656
2020-02-01,2.8681893040279007
2020-03-01,2.8797567865079046
2020-04-01,2.8921736201469894
2020-05-01,2.904240884154305
2020-06-01,2.916763287461184
2020-07-01,2.9289331490460677
2020-08-01,2.9415620195889183
2020-09-01,2.9542453428499007
2020-10-01,2.9665715940286743
2020-11-01,2.9793627526897346
2020-12-01,2.9917938033914706
2021-01-01,3.0046937142843637
2021-02-01,3.0176492465575993
2021-03-01,3.02939902487151
2021-04-01,3.0424610806306873
2021-05-01,3.0551554018969496
2021-06-01,3.0683285130932276
2021-07-01,3.081130763266158
2021-08-01,3.0944158741084995
2021-09-01,3.107758267222725
2021-10-01,3.120725033540022
2021-11-01,3.1341808655590104
2021-12-01,3.147257877149157
2022-01-01,3.1608281125464486
2022-02-01,3.1744568596056144
2022-03-01,3.1868171975110187
2022-04-01,3.2005580033891605
2022-05-01,3.213911966003501
2022-06-01,3.2277695981478187
2022-07-01,3.241237098032442
2022-08-01,3.2552125497162976
2022-09-01,3.269248260259306
2022-10-01,3.2828888251227673
2022-11-01,3.297043869252932
2022-12-01,3.3108004081193485
2023-01-01,3.325075800427629
2023-02-01,3.3394127448684547
2023-03-01,3.3524153691779612
2023-04-01,3.366870195406072
2023-05-01,3.3809180766409006
2023-06-01,3.3954957998367297
2023-07-01,3.40966311813565
2023-08-01,3.424364783186521
2023-09-01,3.439129838357701
2023-10-01,3.4534792146972837
2023-11-01,3.468369804446333
2023-12-01,3.4828411812038365
2024-01-01,3.497858372843413
2024-02-01,3.5129403150797027
2024-03-01,3.5271080952505995
2024-04-01,3.5423161554072715
2024-05-01,3.5570960648659944
2024-06-01,3.5724334260912953
2024-07-01,3.5873389964211335
2024-08-01,3.602806758050954
2024-09-01,3.6183412130292636
2024-10-01,3.6334383283552647
2024-11-01,3.6491048594569313
2024-12-01,3.6643303325829906
2025-01-01,3.6801300627378106
2025-02-01,3.6959979176112845
2025-03-01,3.7103889725790373
2025-04-01,3.7263872967516405
2025-05-01,3.7419352220180104
2025-06-01,3.7580695661951697
2025-07-01,3.7737496821111822
2025-08-01,3.7900212027541267
2025-09-01,3.8063628823652955
2025-10-01,3.8222444966256517
2025-11-01,3.838725115497657
2025-12-01,3.8547417574784624
2026-01-01,3.8713624968924614
