,value
2017-01-01,0.8694177300239715
2017-02-01,0.87316645469654
2017-03-01,0.876566290607069
2017-04-01,0.8803458381907718
2017-05-01,0.884018980623573
2017-06-01,0.8878306624529633
2017-07-01,0.8915350344598784
2017-08-01,0.8953791237448376
2017-09-01,0.8992397878382561
2017-10-01,0.9029917631173805
2017-11-01,0.9068852511204727
2017-12-01,0.9106691262216693
2018-01-01,0.9145957172079371
2018-02-01,0.9185392387305867
2018-03-01,0.9221157420104243
2018-04-01,0.9260916881105146
2018-05-01,0.9299556998757703
2018-06-01,0.9339654500293861
2018-07-01,0.9378623141666933
2018-08-01,0.9419061557806568
2018-09-01,0.9459674334881194
2018-10-01,0.949914374530215
2018-11-01,0.9540101817925426
2018-12-01,0.9579906802830771
2019-01-01,0.962121310675407
2019-02-01,0.9662697513740264
2019-03-01,0.9700321022778082
2019-04-01,0.9742146524483597
2019-05-01,0.9782794517844011
2019-06-01,0.9824975625853732
2019-07-01,0.986596921417662
2019-08-01,0.9908508951905416
2019-09-01,0.9951232110973436
2019-10-01,0.9992752490056036
2019-11-01,1.0035838887437545
2019-12-01,1.0077712278628854
2020-01-01,1.012116500262713
2020-02-01,1.0164805084546598
2020-03-01,1.0205800009310813
2020-04-01,4.509914207684145
2020-05-01,4.528731309470623
2020-06-01,4.54825813323896
2020-07-01,4.567235220674127
2020-08-01,4.586928064247369
2020-09-01,4.606705818728251
2020-10-01,4.6259267724536395
2020-11-01,4.645872680187673
2020-12-01,4.665257053167796
2021-01-01,4.685372543817614
2021-02-01,4.705574767729817
2021-03-01,4.72389679784098
2021-04-01,4.097319884370876
2021-05-01,4.114415483481076
2021-06-01,4.132155874898786
2021-07-01,4.14939682319955
2021-08-01,4.167288045922803
2021-09-01,4.185256411388527
2021-10-01,4.2027189156112055
2021-11-01,4.220840050649925
2021-12-01,4.2384510235420905
2022-01-01,4.2567262270222255
2022-02-01,4.275080228879499
2022-03-01,4.291726048475935
2022-04-01,1.5879798278575536
2022-05-01,1.5946054922670354
2022-06-01,1.6014810559292918
2022-07-01,1.6081630526704254
2022-08-01,1.6150970733429646
2022-09-01,1.6220609918810267
2022-10-01,1.1169112155796928
2022-11-01,1.1217270739252507
2022-12-01,1.1264073519870228
2023-01-01,1.13126415543827
2023-02-01,1.1361419002831639
2023-03-01,1.1405656799774744
2023-04-01,1.384125933059033
2023-05-01,1.3899010403822052
2023-06-01,1.3958939666161405
2023-07-01,1.4017181747148646
2023-08-01,1.4077620536513988
2023-09-01,1.4138319923717455
2023-10-01,2.1051184457877006
2023-11-01,2.114195221178726
2023-12-01,2.1230164591982037
2024-01-01,2.1321704066115434
2024-02-01,2.14136382369215
2024-03-01,2.15
2024-04-01,2.8390680275508906
2024-05-01,2.8509137145402645
2024-06-01,2.8632061836399756
2024-07-01,2.875152584327915
2024-08-01,2.8875495657305965
2024-09-01,2.9000000000000004
2024-10-01,3.182597472778325
2024-11-01,3.196320084196347
2024-12-01,3.209656364577026
2025-01-01,3.223495647569362
2025-02-01,3.237394602293493
2025-03-01,3.25
2025-04-01,3.720158105066683
2025-05-01,3.7356800397424146
2025-06-01,3.7517874130454842
2025-07-01,3.767441317395198
2025-08-01,3.7836856378538837
2025-09-01,3.8
2025-10-01,4.259784309718682
2025-11-01,4.278151497308957
2025-12-01,4.296001595664635
2026-01-01,4.314524943669761
2026-02-01,4.333128159992828
2026-03-01,4.35
2026-04-01,4.503349285080722
2026-05-01,4.52213899547766
2026-06-01,4.541637394739271
2026-07-01,4.56058685789945
2026-08-01,4.580251035296807
2026-09-01,4.6
2026-10-01,4.847340766231603
2026-11-01,4.868241359006744
2026-12-01,4.88855353989424
2027-01-01,4.909631832451797
2027-02-01,4.930801009647012
2027-03-01,4.95
2027-04-01,4.748096528835108
2027-05-01,4.767907419144924
2027-06-01,4.788465514018578
2027-07-01,4.808444839307029
2027-08-01,4.82917772199772
2027-09-01,4.85
2027-10-01,4.993536778380126
2027-11-01,5.015067733958839
2027-12-01,5.0359925311213205
2028-01-01,5.057706545915755
2028-02-01,5.079514186432543
2028-03-01,5.1
2028-04-01,4.904734764837916
2028-05-01,4.925199210291974
2028-06-01,4.946435510357336
2028-07-01,4.967073947407879
2028-08-01,4.9884908014863045
2028-09-01,5.01
2028-10-01,5.101948564053869
2028-11-01,5.1239469657424515
2028-12-01,5.145326049060402
2029-01-01,5.167511484257346
2029-02-01,5.189792577830492
2029-03-01,5.21
2029-04-01,5.002633662339671
2029-05-01,5.0235065797588785
2029-06-01,5.045166758069059
2029-07-01,5.066217139970911
2029-08-01,5.088061476166669
2029-09-01,5.109999999999999
2029-10-01,5.199874640139355
2029-11-01,5.222295276025416
2029-12-01,5.244084706432003
2030-01-01,5.266695965721018
2030-02-01,5.289404719439521
2030-03-01,5.31
2030-04-01,5.5900270473502
2030-05-01,5.613350796560313
2030-06-01,5.637554244339399
2030-07-01,5.6610762953491
2030-08-01,5.685485524248863
2030-09-01,5.71
2030-10-01,5.787431096652276
2030-11-01,5.8123851377232025
2030-12-01,5.836636650661607
2031-01-01,5.861802854503055
2031-02-01,5.887077569093704
2031-03-01,5.909999999999999
2031-04-01,5.590027047350199
2031-05-01,5.613350796560313
2031-06-01,5.637554244339398
2031-07-01,5.661076295349099
2031-08-01,5.685485524248863
2031-09-01,5.71
2031-10-01,5.786627913769911
2031-11-01,5.811578491705241
2031-12-01,5.835826639005294
2032-01-01,5.86098935026708
2032-02-01,5.886260557218887
2032-03-01,5.909999999999999
2032-04-01,5.590027047350199
2032-05-01,5.613350796560313
2032-06-01,5.637554244339399
2032-07-01,5.6610762953491
2032-08-01,5.685485524248863
2032-09-01,5.71
2032-10-01,5.787431096652277
2032-11-01,5.8123851377232025
2032-12-01,5.836636650661608
2033-01-01,5.861802854503055
2033-02-01,5.887077569093706
2033-03-01,5.909999999999999
2033-04-01,5.590027047350199
2033-05-01,5.613350796560313
2033-06-01,5.637554244339399
2033-07-01,5.6610762953491
2033-08-01,5.685485524248863
2033-09-01,5.71
2033-10-01,5.787431096652277
2033-11-01,5.812385137723202
2033-12-01,5.836636650661607
2034-01-01,5.861802854503055
2034-02-01,5.887077569093705
2034-03-01,5.909999999999999
2034-04-01,5.5900270473502
2034-05-01,5.613350796560313
2034-06-01,5.637554244339398
2034-07-01,5.6610762953491
2034-08-01,5.685485524248863
2034-09-01,5.71
2034-10-01,5.787431096652276
2034-11-01,5.8123851377232025
2034-12-01,5.836636650661606
2035-01-01,5.861802854503052
2035-02-01,5.887077569093704
2035-03-01,5.909999999999999
2035-04-01,5.590027047350201
2035-05-01,5.613350796560313
2035-06-01,5.637554244339401
2035-07-01,5.661076295349101
2035-08-01,5.685485524248863
2035-09-01,5.71
2035-10-01,5.786627913769911
2035-11-01,5.811578491705242
2035-12-01,5.835826639005294
2036-01-01,5.86098935026708
2036-02-01,5.886260557218887
2036-03-01,5.909999999999999
2036-04-01,5.384439362596516
2036-05-01,5.406905320679812
2036-06-01,5.430218624144781
2036-07-01,5.452875590966735
2036-08-01,5.476387107420096
2036-09-01,5.5
2036-10-01,5.581786336872754
2036-11-01,5.605853686128977
2036-12-01,5.629243470181246
2037-01-01,5.653515443429342
2037-02-01,5.677892071714741
2037-03-01,5.699999999999999
2037-04-01,5.384439362596515
2037-05-01,5.406905320679812
2037-06-01,5.43021862414478
2037-07-01,5.452875590966735
2037-08-01,5.476387107420095
2037-09-01,5.5
2037-10-01,5.581786336872754
2037-11-01,5.605853686128977
2037-12-01,5.629243470181246
2038-01-01,5.653515443429342
2038-02-01,5.677892071714741
2038-03-01,5.699999999999999
2038-04-01,5.384439362596515
2038-05-01,5.406905320679812
2038-06-01,5.430218624144779
2038-07-01,5.452875590966735
2038-08-01,5.476387107420095
2038-09-01,5.5
2038-10-01,5.581786336872754
2038-11-01,5.605853686128977
2038-12-01,5.629243470181244
2039-01-01,5.653515443429341
2039-02-01,5.677892071714739
2039-03-01,5.699999999999999
2039-04-01,5.384439362596516
2039-05-01,5.406905320679812
2039-06-01,5.430218624144781
2039-07-01,5.452875590966735
2039-08-01,5.476387107420095
2039-09-01,5.5
2039-10-01,5.58101169348367
2039-11-01,5.605075702659876
2039-12-01,5.628462240665003
2040-01-01,5.652730845435253
2040-02-01,5.677104090718722
2040-03-01,5.699999999999999
2040-04-01,2.7411691300491356
2040-05-01,2.752606345073359
2040-06-01,2.764474935928252
2040-07-01,2.7760093917648834
2040-08-01,2.7879788910502303
2040-09-01,2.8000000000000003
2040-10-01,2.741930130393634
2040-11-01,2.753752687923007
2040-12-01,2.765242406404823
2041-01-01,2.7771654809828354
2041-02-01,2.7891399650528554
2041-03-01,2.8000000000000003
2041-04-01,2.7411691300491348
2041-05-01,2.752606345073359
2041-06-01,2.7644749359282517
2041-07-01,2.7760093917648834
2041-08-01,2.7879788910502303
2041-09-01,2.8000000000000003
2041-10-01,2.741930130393634
2041-11-01,2.753752687923007
2041-12-01,2.7652424064048233
2042-01-01,2.7771654809828354
2042-02-01,2.7891399650528554
2042-03-01,2.8000000000000003
2042-04-01,2.741169130049135
2042-05-01,2.752606345073359
2042-06-01,2.764474935928252
2042-07-01,2.7760093917648834
2042-08-01,2.787978891050231
2042-09-01,2.8000000000000003
2042-10-01,2.741930130393634
2042-11-01,2.7537526879230065
2042-12-01,2.7652424064048224
2043-01-01,2.7771654809828346
2043-02-01,2.789139965052855
2043-03-01,2.8000000000000003
2043-04-01,2.741169130049135
2043-05-01,2.752606345073359
2043-06-01,2.7644749359282526
2043-07-01,2.7760093917648834
2043-08-01,2.7879788910502303
2043-09-01,2.8000000000000003
2043-10-01,2.74154960381654
2043-11-01,2.7533705206048524
2043-12-01,2.764858644537195
2044-01-01,2.7767800644243357
2044-02-01,2.788752886668847
2044-03-01,2.8000000000000003
2044-04-01,2.7411691300491356
2044-05-01,2.752606345073359
2044-06-01,2.764474935928252
2044-07-01,2.7760093917648834
2044-08-01,2.7879788910502303
2044-09-01,2.8000000000000003
2044-10-01,2.7419301303936336
2044-11-01,2.7537526879230065
2044-12-01,2.765242406404823
2045-01-01,2.7771654809828354
2045-02-01,2.7891399650528554
2045-03-01,2.8000000000000003
2045-04-01,2.7411691300491348
2045-05-01,2.752606345073359
2045-06-01,2.764474935928252
2045-07-01,2.7760093917648834
2045-08-01,2.7879788910502303
2045-09-01,2.8000000000000003
2045-10-01,2.741930130393634
2045-11-01,2.753752687923007
2045-12-01,2.765242406404823
2046-01-01,2.7771654809828354
2046-02-01,2.7891399650528554
2046-03-01,2.8000000000000003
2046-04-01,2.883609868890552
2046-05-01,2.895641401624135
2046-06-01,2.9081267259858548
2046-07-01,2.9202605525046854
2046-08-01,2.9328520288519653
2046-09-01,2.945497796682403
2046-10-01,2.8844104134755506
2046-11-01,2.896847312459093
2046-12-01,2.9089340769136247
