Year,Month,Price
2017,1,0.8656851
2017,2,0.86941773
2017,3,0.87280297
2017,4,0.876566291
2017,5,0.880223663
2017,6,0.884018981
2017,7,0.887707449
2017,8,0.891535034
2017,9,0.895379124
2017,10,0.899114991
2017,11,0.902991763
2017,12,0.906759393
2018,1,0.910669126
2018,2,0.914595717
2018,3,0.918156866
2018,4,0.922115742
2018,5,0.925963165
2018,6,0.9299557
2018,7,0.933835834
2018,8,0.937862314
2018,9,0.941906156
2018,10,0.945836152
2018,11,0.949914375
2018,12,0.953877784
2019,1,0.95799068
2019,2,0.962121311
2019,3,0.965867509
2019,4,0.970032102
2019,5,0.97407945
2019,6,0.978279452
2019,7,0.982361211
2019,8,0.986596921
2019,9,0.990850895
2019,10,0.994985107
2019,11,0.999275249
2019,12,1.003444611
2020,1,1.007771228
2020,2,1.0121165
2020,3,1.016198393
2020,4,4.490552004
2020,5,4.509288319
2020,6,4.528731309
2020,7,4.547626923
2020,8,4.567235221
2020,9,4.586928064
2020,10,4.606066498
2020,11,4.625926772
2020,12,4.645227923
2021,1,4.665257053
2021,2,4.685372544
2021,3,4.703615913
2021,4,4.079729053
2021,5,4.096751256
2021,6,4.114415483
2021,7,4.131582412
2021,8,4.149396823
2021,9,4.167288046
2021,10,4.184675579
2021,11,4.202718916
2021,12,4.22025428
2022,1,4.238451024
2022,2,4.256726227
2022,3,4.273300582
2022,4,1.581162228
2022,5,1.587759447
2022,6,1.594605492
2022,7,1.601258802
2022,8,1.608163053
2022,9,1.615097073
2022,10,1.112116033
2022,11,1.116911216
2022,12,1.1215714
2023,1,1.126407352
2023,2,1.131264155
2023,3,1.135668943
2023,4,2.167074792
2023,5,2.176116664
2023,6,2.185499567
2023,7,2.194618314
2023,8,2.204080992
2023,9,2.213584471
2023,10,2.466550706
2023,11,2.477185892
2023,12,2.487521667
2024,1,2.498247275
2024,2,2.50901913
2024,3,2.519138069
2024,4,3.211083838
2024,5,3.224481719
2024,6,3.238384925
2024,7,3.251896716
2024,8,3.26591813
2024,9,3.28
2024,10,3.6036796
2024,11,3.619217818
2024,12,3.634318591
2025,1,3.649988918
2025,2,3.665726811
2025,3,3.68
2025,4,3.847426672
2025,5,3.86347962
2025,6,3.880138035
2025,7,3.896327468
2025,8,3.913127515
2025,9,3.93
2025,10,4.25978431
2025,11,4.278151497
2025,12,4.296001596
2026,1,4.314524944
2026,2,4.33312816
2026,3,4.35
2026,4,4.483769506
2026,5,4.502477522
2026,6,4.521891145
2026,7,4.540758219
2026,8,4.5603369
2026,9,4.58
2026,10,4.778792513
2026,11,4.799397542
2026,12,4.81942248
2027,1,4.840202695
2027,2,4.861072511
2027,3,4.88
2027,4,4.69914708
2027,5,4.718753734
2027,6,4.73909989
2027,7,4.758873243
2027,8,4.779392385
2027,9,4.8
2027,10,5.091449264
2027,11,5.113402395
2027,12,5.134737483
2028,1,5.156877263
2028,2,5.179112504
2028,3,5.2
2028,4,5.002633662
2028,5,5.02350658
2028,6,5.045166758
2028,7,5.06621714
2028,8,5.088061476
2028,9,5.11
2028,10,5.19987464
2028,11,5.222295276
2028,12,5.244084706
2029,1,5.266695966
2029,2,5.289404719
2029,3,5.31
2029,4,5.149482009
2029,5,5.170967634
2029,6,5.19326363
2029,7,5.214931929
2029,8,5.237417488
2029,9,5.26
2029,10,5.346763754
2029,11,5.369817741
2029,12,5.392222692
2030,1,5.415472688
2030,2,5.438822932
2030,3,5.46
2030,4,5.374649473
2030,5,5.397074584
2030,6,5.420345499
2030,7,5.442961272
2030,8,5.46643004
2030,9,5.49
2030,10,5.571993729
2030,11,5.596018855
2030,12,5.619367604
2031,1,5.643596995
2031,2,5.667930858
2031,3,5.69
2031,4,5.717295614
2031,5,5.741150377
2031,6,5.765904866
2031,7,5.789962446
2031,8,5.814927401
2031,9,5.84
2031,10,5.913914145
2031,11,5.939413552
2031,12,5.964195076
2032,1,5.989911282
2032,2,6.01573837
2032,3,6.04
2032,4,5.717295614
2032,5,5.741150377
2032,6,5.765904866
2032,7,5.789962446
2032,8,5.814927401
2032,9,5.84
2032,10,5.914734996
2032,11,5.940237941
2032,12,5.965022905
2033,1,5.99074268
2033,2,6.016573353
2033,3,6.04
2033,4,5.687925945
2033,5,5.711658166
2033,6,5.736285492
2033,7,5.760219488
2033,8,5.785056199
2033,9,5.81
2033,10,5.885357173
2033,11,5.910733448
2033,12,5.935395308
2034,1,5.960987336
2034,2,5.986689711
2034,3,6.01
2034,4,5.590027047
2034,5,5.613350797
2034,6,5.637554244
2034,7,5.661076295
2034,8,5.685485524
2034,9,5.71
2034,10,5.787431097
2034,11,5.812385138
2034,12,5.836636651
2035,1,5.861802855
2035,2,5.887077569
2035,3,5.91
2035,4,5.590027047
2035,5,5.613350797
2035,6,5.637554244
2035,7,5.661076295
2035,8,5.685485524
2035,9,5.71
2035,10,5.786627914
2035,11,5.811578492
2035,12,5.835826639
2036,1,5.86098935
2036,2,5.886260557
2036,3,5.91
2036,4,5.384439363
2036,5,5.406905321
2036,6,5.430218624
2036,7,5.452875591
2036,8,5.476387107
2036,9,5.5
2036,10,5.581786337
2036,11,5.605853686
2036,12,5.62924347
2037,1,5.653515443
2037,2,5.677892072
2037,3,5.7
2037,4,5.384439363
2037,5,5.406905321
2037,6,5.430218624
2037,7,5.452875591
2037,8,5.476387107
2037,9,5.5
2037,10,5.581786337
2037,11,5.605853686
2037,12,5.62924347
2038,1,5.653515443
2038,2,5.677892072
2038,3,5.7
2038,4,5.384439363
2038,5,5.406905321
2038,6,5.430218624
2038,7,5.452875591
2038,8,5.476387107
2038,9,5.5
2038,10,5.581786337
2038,11,5.605853686
2038,12,5.62924347
2039,1,5.653515443
2039,2,5.677892072
2039,3,5.7
2039,4,5.384439363
2039,5,5.406905321
2039,6,5.430218624
2039,7,5.452875591
2039,8,5.476387107
2039,9,5.5
2039,10,5.581011693
2039,11,5.605075703
2039,12,5.628462241
2040,1,5.652730845
2040,2,5.677104091
2040,3,5.7
2040,4,2.74116913
2040,5,2.752606345
2040,6,2.764474936
2040,7,2.776009392
2040,8,2.787978891
2040,9,2.8
2040,10,2.74193013
2040,11,2.753752688
2040,12,2.765242406
2041,1,2.777165481
2041,2,2.789139965
2041,3,2.8
2041,4,2.74116913
2041,5,2.752606345
2041,6,2.764474936
2041,7,2.776009392
2041,8,2.787978891
2041,9,2.8
2041,10,2.74193013
2041,11,2.753752688
2041,12,2.765242406
2042,1,2.777165481
2042,2,2.789139965
2042,3,2.8
2042,4,2.74116913
2042,5,2.752606345
2042,6,2.764474936
2042,7,2.776009392
2042,8,2.787978891
2042,9,2.8
2042,10,2.74193013
2042,11,2.753752688
2042,12,2.765242406
2043,1,2.777165481
2043,2,2.789139965
2043,3,2.8
2043,4,2.74116913
2043,5,2.752606345
2043,6,2.764474936
2043,7,2.776009392
2043,8,2.787978891
2043,9,2.8
2043,10,2.741549604
2043,11,2.753370521
2043,12,2.764858645
2044,1,2.776780064
2044,2,2.788752887
2044,3,2.8
2044,4,2.74116913
2044,5,2.752606345
2044,6,2.764474936
2044,7,2.776009392
2044,8,2.787978891
2044,9,2.8
2044,10,2.74193013
2044,11,2.753752688
2044,12,2.765242406
2045,1,2.777165481
2045,2,2.789139965
2045,3,2.8
2045,4,2.74116913
2045,5,2.752606345
2045,6,2.764474936
2045,7,2.776009392
2045,8,2.787978891
2045,9,2.8
2045,10,2.74193013
2045,11,2.753752688
2045,12,2.765242406
2046,1,2.777165481
2046,2,2.789139965
2046,3,2.8
2046,4,2.883609869
2046,5,2.895641402
2046,6,2.908126726
2046,7,2.920260553
2046,8,2.932852029
2046,9,2.945497797
2046,10,2.884410413
2046,11,2.896847312
2046,12,2.908934077
